method_id	statement	implementation_or_source	artifact_ids	status	known_limit
M01	Oracle c_Hstar is the true-H conditional replay-flip probability and underlies Theorem 1.	manuscript/paper.tex eq:cond, Theorem 1, Appendix proofs	EV-THEORY-TOWER	analytical model statement	Requires the true count law and a count-exchangeable random-prefix replay model; not an implemented fitted-score guarantee.
M02	BAYES-H freezes Hhat_FIT and thresholds s_HhatFIT.	manuscript/paper.tex fitted implementation; exact DP appendix	EV-OMR-R469;EV-DP-R470	implemented/supplied	The plug-in score is not the oracle conditional probability unless Hhat_FIT=Hstar.
M03	Theorem 2 CAL-screens a finite FIT-frozen family with empirical-Bernstein UCBs and Bonferroni.	manuscript/paper.tex Theorem 2 and protocol; J=64 with delta_r=.05/64	EV-THEORY-POP;EV-OMR-R469	implemented/supplied under stated i.i.d. assumptions	Requires independent i.i.d. FIT/CAL tasks, conditional bounded i.i.d. task loss, frozen family, and correct EB/Bonferroni conditions; TEST is descriptive.
M04	Exact task-level replay loss g_r(K) is computed by hypergeometric enumeration/DP for a fixed frozen fitted rule.	manuscript/appendix_dp.tex; recovered runner/verifier	EV-OMR-R469;EV-REPRO-R4	recovered main replay	The target is binary pass-count replay disagreement, not delivered answer correctness.
M05	Synthetic ordered-drift and margin exploration.	manuscript/paper.tex drift section; frozen results	EV-DRIFT-R469;EV-MARGIN-R469	supplied synthetic diagnostic	No natural-order evidence, confirmatory selection, or deployment-policy implication.
M06	OMR derived-manifest replay.	evidence/repro_bundle_round4/replay_fit_cal_test_stdlib.py and README	EV-REPRO-R4	byte-exact conditional replay	Main JSON replay is conditional on the anonymous derived manifest; no raw-parquet clean-room reconstruction and no local rerun of secondary runners.
M07	OpenR1 exactly-two-rollout accounting.	recovered openr1 runner/output	EV-OPENR1-R473;EV-REPRO-R4	recovered provenance	9374 raw unique -> 8853 exactly-two-deduplicated rollout problems -> 3000/3000/2853; not online evidence.
M08	Closest-work positioning.	literature/closest_work_round4.md, closest_work_matrix.md, and .bib	EV-LIT-R4-CLOSEST;EV-R05-WOR-SCOPE	primary-source scoped	A Waudby-Smith--Ramdas WoR-CS majority stopper is a direct same-endpoint comparator but is not evaluated here. Novelty is only model-assisted independent FIT/CAL screening of a finite frozen plug-in score family for exact task-level replay loss; no CS or efficiency separation claim.
M09	Appendix E(g) K-wise profile cap.	remote_snapshot source and Round-2 adjudication	EV-R02-APPENDIX-ADJUDICATION;EV-PREFIX-R508	oracle diagnostic only	Membership depends on unobserved final K; no common prefix-observable policy or deployable repair follows.
M10	Odd-grid and TV infeasibility boundary semantics.	manuscript/appendix_proofs.tex; audit_monotonicity_boundary.py; audit_tv_radius_semantics.py	EV-R05-BOUNDARY-AUDIT	CPU-only formal boundary audit	No carrier, remote task, or new scientific result is read or generated. FULL-N fallback is outside the CAL family; an infeasible TV radius is a sentinel, not numeric zero.
